champion1,champion2,champion3,games,wins,win_rate
Poppy,Lulu,Syndra,13,8,61.54
Lee Sin,Alistar,Riven,2,2,100.0
Xin Zhao,Jarvan IV,Ekko,2,0,0.0
Nidalee,Nautilus,Vayne,5,0,0.0
Kindred,Renata,Taliyah,5,5,100.0
Graves,Milio,Kayle,3,0,0.0
Jarvan IV,Alistar,Viktor,52,35,67.31
Mordekaiser,Alistar,Corki,12,12,100.0
Nunu & Willump,Bard,Aurora,10,0,0.0
Mordekaiser,Pyke,Yone,10,10,100.0
Jarvan IV,Neeko,Azir,28,19,67.86
Pantheon,Rakan,Aurora,29,8,27.59
Trundle,Sona,Ryze,10,0,0.0
Elise,Pyke,Yone,21,10,47.62
Lee Sin,Thresh,Sylas,22,14,63.64
Jarvan IV,Alistar,Aurora,22,4,18.18
Xin Zhao,Sona,Ryze,29,18,62.07
Jarvan IV,Zyra,Annie,8,0,0.0
Skarner,Rakan,Galio,10,10,100.0
Jarvan IV,Alistar,Yone,26,0,0.0
Hecarim,Rell,Azir,30,10,33.33
Trundle,Pyke,Ziggs,10,0,0.0
Vi,Pyke,Aurora,17,11,64.71
Shyvana,Braum,Orianna,9,0,0.0
Lee Sin,Teemo,Annie,13,7,53.85
Nocturne,Alistar,Aurora,39,24,61.54
Ambessa,Alistar,Annie,9,0,0.0
Xin Zhao,Tahm Kench,Orianna,11,11,100.0
Jarvan IV,Alistar,Neeko,14,4,28.57
Nidalee,Leona,Sylas,12,12,100.0
KhaZix,Taric,Orianna,11,0,0.0
Trundle,Leona,Viktor,28,13,46.43
Jarvan IV,Janna,Ryze,17,7,41.18
Trundle,Neeko,Cassiopeia,9,9,100.0
Sejuani,Alistar,Yone,20,9,45.0
Hecarim,Lulu,Aurora,25,10,40.0
Hecarim,Milio,Corki,4,0,0.0
Udyr,Nautilus,Galio,5,5,100.0
Lee Sin,Leona,Aurora,18,14,77.78
Nocturne,Rell,Azir,21,10,47.62
Volibear,Neeko,Taliyah,18,9,50.0
Trundle,Alistar,Azir,37,5,13.51
