champion1,champion2,games,wins,win_rate
Swain,Pantheon,67,55,82.09
Shen,Zac,58,27,46.55
Azir,Poppy,21,19,90.48
Anivia,Viego,47,23,48.94
Smolder,Zyra,24,1,4.17
Anivia,Pantheon,51,26,50.98
Ryze,Xin Zhao,96,54,56.25
Shen,Nidalee,88,56,63.64
Lee Sin,Viego,30,14,46.67
Ryze,Vi,76,31,40.79
Yorick,Poppy,30,14,46.67
Nidalee,Udyr,14,4,28.57
Reksai,Rengar,4,3,75.0
Anivia,Trundle,29,15,51.72
Chogath,KhaZix,53,26,49.06
Camille,Jarvan IV,182,72,39.56
KSante,Nidalee,124,63,50.81
Anivia,Lee Sin,29,15,51.72
Tristana,Zed,5,3,60.0
KSante,Hecarim,139,67,48.2
Kayle,Sylas,9,0,0.0
Nidalee,Poppy,6,2,33.33
Ambessa,Zed,562,281,50.0
Ambessa,Xin Zhao,471,232,49.26
Shen,Vi,90,39,43.33
Neeko,Corki,3,0,0.0
Anivia,Jax,9,9,100.0
Renekton,Shaco,85,41,48.24
Anivia,Ivern,7,3,42.86
Nasus,Gragas,6,1,16.67
Sett,Xin Zhao,84,50,59.52
Shen,Rengar,149,56,37.58
Yasuo,Pantheon,70,31,44.29
Yorick,Viego,231,134,58.01
Teemo,Volibear,70,41,58.57
Urgot,Zed,137,68,49.64
Yorick,Ekko,124,62,50.0
Poppy,Rengar,37,23,62.16
Ambessa,Belveth,134,72,53.73
Quinn,Evelynn,13,9,69.23
Veigar,Xin Zhao,3,2,66.67
Sejuani,Pantheon,28,14,50.0
Teemo,Evelynn,17,13,76.47
Jayce,Zed,271,115,42.44
Vladimir,Rengar,74,39,52.7
Urgot,Ekko,128,72,56.25
Jayce,Wukong,211,112,53.08
Teemo,Zyra,6,2,33.33
Sett,Sejuani,19,11,57.89
Anivia,Belveth,12,6,50.0
Fiora,Udyr,152,65,42.76
Vayne,Master Yi,16,7,43.75
Gragas,Udyr,78,41,52.56
Gragas,KhaZix,119,65,54.62
Kled,Zac,23,8,34.78
Vayne,Volibear,37,34,91.89
