blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
,,,,,,,LNG Esports,KT Rolster,blue_side,red_side
Maokai,Caitlyn,KSante,Rumble,13.19,Canna,Kiaya,,,,
Wukong,Alistar,Lee Sin,Jarvan IV,13.19,Canyon,Levi,,,,
Kalista,Xayah,Sylas,Orianna,13.19,ShowMaker,Kati,,,,
Aphelios,Neeko,Kaisa,Zeri,13.19,Deft,Slayder,,,,
Renata Glasc,Azir,Rell,Rakan,13.19,Kellin,Palette,,,,
,,,,,,,Dplus KIA,GAM Esports,blue_side,red_side
Caitlyn,Maokai,KSante,Rumble,13.19,Kiaya,Canna,,,,
Alistar,Xayah,Nocturne,Lee Sin,13.19,Levi,Canyon,,,,
Renata Glasc,Kalista,Akali,Ahri,13.19,Kati,ShowMaker,,,,
Aphelios,Wukong,Kaisa,Sivir,13.19,Slayder,Deft,,,,
Neeko,Vi,Nautilus,Rell,13.19,Palette,Kellin,,,,
,,,,,,,GAM Esports,Dplus KIA,red_side,blue_side
Poppy,Jarvan IV,KSante,Aatrox,13.19,Chasy,TheShy,,,,
Maokai,Xayah,Vi,Rell,13.19,Elyoya,WeiWei,,,,
Orianna,Azir,Sylas,Ahri,13.19,Nisqy,xiaohu,,,,
Taliyah,Varus,Ashe,Kalista,13.19,Carzzy,Light,,,,
Akali,Heimerdinger,Alistar,Renata Glasc,13.19,Hylissang,Crisp,,,,
,,,,,,,MAD Lions,Weibo Gaming,red_side,blue_side
Poppy,Xayah,KSante,Aatrox,13.19,Chasy,TheShy,,,,
Maokai,Jarvan IV,Vi,Rell,13.19,Elyoya,WeiWei,,,,
Orianna,Azir,Ahri,Neeko,13.19,Nisqy,xiaohu,,,,
Taliyah,Blitzcrank,Kalista,Aphelios,13.19,Carzzy,Light,,,,
Sylas,Pyke,Soraka,Renata Glasc,13.19,Hylissang,Crisp,,,,
,,,,,,,MAD Lions,Weibo Gaming,red_side,blue_side
Azir,Maokai,Rumble,Jax,13.19,Fudge,Oscarinin,,,,
Poppy,Kalista,Jarvan IV,Lee Sin,13.19,Blaber,Razork,,,,
Renekton,Sejuani,Yone,Orianna,13.19,EMENES,Humanoid,,,,
Zeri,Syndra,Xayah,Ezreal,13.19,Berserker,Noah,,,,
Rell,Alistar,Nautilus,Rakan,13.19,Zven,Trymbi,,,,
,,,,,,,Cloud9,Fnatic,blue_side,red_side
Maokai,Azir,Jax,Renekton,13.19,Oscarinin,Fudge,,,,
Kalista,Xayah,Jarvan IV,Taliyah,13.19,Razork,Blaber,,,,
Rumble,Orianna,Syndra,KSante,13.19,Humanoid,EMENES,,,,
Alistar,Aphelios,Zeri,Kaisa,13.19,Noah,Berserker,,,,
Nautilus,Sivir,Rakan,Rell,13.19,Trymbi,Zven,,,,
,,,,,,,Fnatic,Cloud9,blue_side,red_side
Azir,Maokai,Jax,Rumble,13.19,Fudge,Oscarinin,,,,
Orianna,Kalista,Sejuani,Jarvan IV,13.19,Blaber,Razork,,,,
Poppy,Rakan,LeBlanc,Sylas,13.19,EMENES,Humanoid,,,,
Braum,Akali,Xayah,Aphelios,13.19,Berserker,Noah,,,,
