blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Sylas,Kalista,Gnar,Fiora,12.14,Bin,Demon,,,,
Aphelios,Yuumi,Trundle,Poppy,12.14,WeiWei,View,,,,
Sivir,Zeri,Lissandra,LeBlanc,12.14,icon,Shanks,,,,
Nautilus,Jax,Lucian,Tahm Kench,12.14,Doggo,Kedaya,,,,
Xayah,Ahri,Nami,Senna,12.14,Crisp,Xing,,,,
,,,,,,,Bilibili Gaming,Team WE,blue_side,red_side
Wukong,Kalista,Gnar,Gangplank,12.14,Hoya,Breathe,,,,
Zeri,Azir,Poppy,Trundle,12.14,Beichuan,Wei,,,,
Gwen,Sylas,Ahri,Taliyah,12.14,Ucal,xiaohu,,,,
Jax,Kaisa,Twitch,Sivir,12.14,Kepler,GALA,,,,
Fiora,Aphelios,Alistar,Braum,12.14,yaoyao,Ming,,,,
,,,,,,,TT,Royal Never Give Up,red_side,blue_side
Kalista,Zeri,Gnar,Sejuani,12.14,Breathe,Hoya,,,,
Azir,Sivir,Trundle,Poppy,12.14,Wei,Beichuan,,,,
Sylas,Wukong,Taliyah,Ahri,12.14,xiaohu,Ucal,,,,
Kennen,Gwen,Aphelios,Jinx,12.14,GALA,Kepler,,,,
Tahm Kench,Fiora,Nautilus,Braum,12.14,Ming,yaoyao,,,,
,,,,,,,Royal Never Give Up,TT,blue_side,red_side
Swain,Wukong,Sejuani,Camille,12.14,369,Zdz,,,,
Sylas,Lucian,Vi,Pantheon,12.14,Kanavi,Xiaohao,,,,
Kalista,Viego,Taliyah,Ahri,12.14,Yagao,Forge,,,,
Gangplank,Yuumi,Zeri,Sivir,12.14,Hope,Betty,,,,
Gwen,Alistar,Lulu,Amumu,12.14,Missing,Qiuqiu,,,,
,,,,,,,JD Gaming,Anyone s Legend,blue_side,red_side
Taliyah,Kalista,Gwen,Gnar,12.14,Zdz,369,,,,
Vi,Wukong,Trundle,Xin Zhao,12.14,Xiaohao,Kanavi,,,,
Lucian,Sylas,LeBlanc,Ahri,12.14,Forge,Yagao,,,,
Poppy,Lee Sin,Zeri,Sivir,12.14,Betty,Hope,,,,
Kennen,Gangplank,Lulu,Yuumi,12.14,Qiuqiu,Missing,,,,
,,,,,,,Anyone s Legend,JD Gaming,red_side,blue_side
Azir,Draven,Sejuani,Ornn,12.14,Rich,Zoom,,,,
Kalista,Gwen,Xin Zhao,Wukong,12.14,XLB,H4cker,,,,
Trundle,Poppy,Taliyah,Ryze,12.14,RooKie,Cryin,,,,
Swain,Vi,Sivir,Zeri,12.14,Photic,Elk,,,,
Lissandra,Pantheon,Yuumi,Lulu,12.14,Ppgod,Miaoniu,,,,
,,,,,,,Victory Five,Ultra Prime,blue_side,red_side
Azir,Draven,Sejuani,Ornn,12.14,Rich,Zoom,,,,
Kalista,Gwen,Viego,Xin Zhao,12.14,XLB,H4cker,,,,
Trundle,Poppy,Taliyah,Lissandra,12.14,RooKie,Cryin,,,,
Renekton,Vi,Sivir,Zeri,12.14,Photic,Elk,,,,
Lee Sin,Wukong,Yuumi,Lulu,12.14,Ppgod,Miaoniu,,,,
,,,,,,,Victory Five,Ultra Prime,red_side,blue_side
Azir,Draven,Ornn,Sejuani,12.14,Rich,Zoom,,,,
Kalista,Gwen,Wukong,Xin Zhao,12.14,XLB,H4cker,,,,
Trundle,Poppy,Ahri,LeBlanc,12.14,RooKie,Cryin,,,,
Taliyah,Fiora,Sivir,Zeri,12.14,Photic,Elk,,,,
Lissandra,Sylas,Yuumi,Lulu,12.14,Ppgod,Miaoniu,,,,
,,,,,,,Victory Five,Ultra Prime,blue_side,red_side
Poppy,Lucian,Ornn,Kennen,12.14,Summit,TheShy,,,,
Gwen,Zeri,Trundle,Wukong,12.14,Clid,SofM,,,,
Draven,Ahri,Vex,Sylas,12.14,Care,Angel,,,,
Yuumi,Jax,Kalista,Sivir,12.14,Lwx,huanfeng,,,,
Gnar,Sejuani,Renata Glasc,Pyke,12.14,Hang,ON,,,,
