blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Gnar,Renekton,Nautilus,Alistar,12.15,cold,Hang,,,,
,,,,,,,OMG,Funplus Phoenix,blue_side,red_side
Rumble,Kalista,Kennen,Jarvan IV,12.15,Summit,shanji,,,,
Sylas,Zeri,Poppy,Wukong,12.15,Clid,AKi,,,,
Samira,Ahri,Yone,Viktor,12.15,Care,Creme,,,,
Akali,Taliyah,Lucian,Aphelios,12.15,Lwx,Able,,,,
Gwen,Gnar,Nami,Nautilus,12.15,Hang,cold,,,,
,,,,,,,Funplus Phoenix,OMG,blue_side,red_side
Rumble,Kalista,Gnar,Kennen,12.15,Summit,shanji,,,,
Sylas,Zeri,Poppy,Xin Zhao,12.15,Clid,AKi,,,,
Samira,Lucian,Akali,Ahri,12.15,Care,Creme,,,,
Amumu,Sivir,Xayah,Aphelios,12.15,Lwx,Able,,,,
Wukong,Tahm Kench,Rakan,Nautilus,12.15,Hang,cold,,,,
,,,,,,,Funplus Phoenix,OMG,blue_side,red_side
