blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
Kennen,Viktor,Jinx,Aphelios,12.4,iBOY,Elk,,,,
Malphite,Ahri,Tahm Kench,Lulu,12.4,yuyanjia,ShiauC,,,,
,,,,,,,Rare Atom,Ultra Prime,blue_side,red_side
Lee Sin,Nidalee,Gwen,Kennen,12.4,Cube,Aliez,,,,
Twisted Fate,Tahm Kench,Hecarim,Xin Zhao,12.4,Leyan,H4cker,,,,
Ryze,Jayce,Viktor,Syndra,12.4,Strive,Cryin,,,,
Sylas,Ahri,Tristana,Zeri,12.4,iBOY,Elk,,,,
LeBlanc,Vex,Alistar,Rakan,12.4,yuyanjia,ShiauC,,,,
,,,,,,,Rare Atom,Ultra Prime,blue_side,red_side
Tryndamere,Zeri,Graves,Gangplank,12.4,369,New,,,,
Tahm Kench,Viego,Hecarim,Lee Sin,12.4,Kanavi,Chieftain,,,,
Gwen,Viktor,Ryze,Syndra,12.4,Yagao,Ucal,,,,
Galio,Jayce,Aphelios,Jinx,12.4,Hope,Puff,,,,
Twisted Fate,Xin Zhao,Thresh,Lulu,12.4,Missing,Southwind,,,,
