blue_bans,red_bans,blue_picks,red_picks,patch,blue_roster,red_roster,blue_side,red_side,winner,loser
,,,,,,,Golden Guardians,CLG,blue_side,red_side
Senna,Yone,Renekton,Ornn,12.15,Dhokla,Licorice,,,,
Jarvan IV,Kalista,Trundle,Viego,12.15,Contractz,River,,,,
Poppy,Yuumi,Akali,Azir,12.15,Palafox,Ablazeolive,,,,
Vi,LeBlanc,Zeri,Sivir,12.15,Luger,Stixxay,,,,
Wukong,Sylas,Lulu,Nautilus,12.15,Poome,Olleh,,,,
,,,,,,,CLG,Golden Guardians,blue_side,red_side
Ornn,Lucian,Sejuani,Gnar,12.15,Philip,solo,,,,
Renekton,Azir,Xin Zhao,Vi,12.15,Josedeodo,Spica,,,,
Kalista,LeBlanc,Ahri,Lissandra,12.15,Toucouille,Maple,,,,
Sylas,Wukong,Sivir,Zeri,12.15,Johnsun,Instinct,,,,
Aatrox,Viego,Lulu,Yuumi,12.15,Aphromoo,Chime,,,,
,,,,,,,FlyQuest,TSM,red_side,blue_side
Renekton,Lucian,Camille,Gnar,12.15,Philip,solo,,,,
Kalista,Azir,Trundle,Jarvan IV,12.15,Josedeodo,Spica,,,,
Vi,LeBlanc,Ahri,Lissandra,12.15,Toucouille,Maple,,,,
Ornn,Lee Sin,Sivir,Zeri,12.15,Johnsun,Instinct,,,,
Wukong,Viego,Nautilus,Yuumi,12.15,Aphromoo,Chime,,,,
,,,,,,,FlyQuest,TSM,blue_side,red_side
LeBlanc,Renekton,Gnar,Jax,12.15,solo,Philip,,,,
Ahri,Kalista,Vi,Wukong,12.15,Spica,Josedeodo,,,,
Nautilus,Azir,Akali,Lissandra,12.15,Maple,Toucouille,,,,
Trundle,Sylas,Draven,Sivir,12.15,Tactical,Johnsun,,,,
Poppy,Ornn,Pyke,Yuumi,12.15,Chime,Aphromoo,,,,
,,,,,,,TSM,FlyQuest,red_side,blue_side
LeBlanc,Renekton,Gnar,Camille,12.15,solo,Philip,,,,
