name,percentage,id,patch
Lillia,9,149,11.9
Aatrox,7,1,11.9
Draven,7,18,11.9
Gragas,7,28,11.9
Irelia,7,32,11.9
Lulu,7,51,11.9
Samira,7,151,11.9
Karma,6,38,11.9
Ahri,5,2,11.9
KogMaw,5,45,11.9
Kindred,5,127,11.9
Yone,5,150,11.9
Diana,4,16,11.9
Fiddlesticks,4,22,11.9
Kassadin,4,40,11.9
LeBlanc,4,46,11.9
Camille,4,134,11.9
Ashe,2,8,11.9
Blitzcrank,2,9,11.9
Graves,2,29,11.9
Hecarim,2,30,11.9
Karthus,2,39,11.9
Malphite,2,53,11.9
Vayne,2,101,11.9
Zed,2,114,11.9
Azir,2,120,11.9
Jhin,2,129,11.9
Ornn,2,138,11.9
Amumu,1,5,11.9
Darius,1,15,11.9
Ezreal,1,21,11.9
KhaZix,1,44,11.9
Lissandra,1,49,11.9
Shen,1,79,11.9
Trundle,1,94,11.9
Vladimir,1,105,11.9
Xerath,1,109,11.9
Yasuo,1,111,11.9
Yorick,1,112,11.9
