champion,games,wins,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Morgana,192,114,59.38,4.59,4.32,11.83,3.8,2025-04-15 22:38:41
Rengar,702,415,59.12,8.48,5.06,6.59,2.98,2025-04-15 22:38:41
Neeko,1286,745,57.93,3.68,4.85,9.97,2.81,2025-04-15 22:38:41
Shaco,588,370,62.93,7.5,4.13,8.69,3.91,2025-04-15 22:38:41
Velkoz,205,123,60.0,5.16,4.94,9.09,2.88,2025-04-15 22:38:41
Taric,442,248,56.11,1.73,5.19,14.23,3.08,2025-04-15 22:38:41
Kayn,849,506,59.6,8.33,4.71,6.89,3.23,2025-04-15 22:38:41
Shen,478,280,58.58,4.16,3.77,8.89,3.46,2025-04-15 22:38:41
Masteryi,405,246,60.74,9.11,4.74,5.65,3.11,2025-04-15 22:38:41
Twitch,222,129,58.11,8.66,5.97,6.14,2.48,2025-04-15 22:38:41
Zoe,496,284,57.26,6.27,4.33,8.05,3.31,2025-04-15 22:38:41
Rammus,426,250,58.69,4.24,4.12,12.3,4.01,2025-04-15 22:38:41
Yorick,456,257,56.36,4.16,3.97,4.82,2.27,2025-04-15 22:38:41
Udyr,495,272,54.95,5.99,4.5,7.2,2.93,2025-04-15 22:38:41
Teemo,332,180,54.22,5.02,4.91,5.75,2.19,2025-04-15 22:38:41
Annie,232,141,60.78,5.51,4.88,8.55,2.88,2025-04-15 22:38:41
Mordekaiser,212,125,58.96,5.3,4.86,4.71,2.06,2025-04-15 22:38:41
Malphite,342,183,53.51,3.57,4.13,7.51,2.68,2025-04-15 22:38:41
Singed,539,325,60.3,4.21,4.87,8.0,2.51,2025-04-15 22:38:41
Trundle,209,117,55.98,3.72,5.71,5.05,1.54,2025-04-15 22:38:41
Reksai,271,168,61.99,6.77,4.19,7.81,3.48,2025-04-15 22:38:41
Fizz,47,24,51.06,8.0,6.19,6.43,2.33,2025-04-15 22:38:41
Kled,173,97,56.07,5.52,5.17,5.82,2.19,2025-04-15 22:38:41
Briar,50,23,46.0,6.52,6.04,7.22,2.28,2025-04-15 22:38:41
Nasus,279,166,59.5,4.81,4.41,5.95,2.44,2025-04-15 22:38:41
Ornn,312,154,49.36,2.91,4.2,7.6,2.5,2025-04-15 22:38:41
Amumu,91,48,52.75,4.41,5.18,9.8,2.74,2025-04-15 22:38:41
Malzahar,286,153,53.5,4.06,4.92,7.67,2.39,2025-04-15 22:38:41
Nilah,185,107,57.84,7.11,5.21,5.92,2.5,2025-04-15 22:38:41
Urgot,607,364,59.97,6.35,4.78,4.74,2.32,2025-04-15 22:38:41
Shyvana,38,22,57.89,5.32,3.76,8.34,3.63,2025-04-15 22:38:41
Tahmkench,241,144,59.75,3.49,5.26,10.65,2.69,2025-04-15 22:38:41
Samira,155,79,50.97,8.94,5.68,4.8,2.42,2025-04-15 22:38:41
Heimerdinger,140,82,58.57,4.16,5.16,5.37,1.85,2025-04-15 22:38:41
Belveth,380,228,60.0,7.66,4.23,6.6,3.37,2025-04-15 22:38:41
Katarina,397,199,50.13,8.63,5.5,5.37,2.54,2025-04-15 22:38:41
Kassadin,245,133,54.29,6.76,4.3,5.28,2.8,2025-04-15 22:38:41
Illaoi,36,15,41.67,3.64,6.45,3.89,1.17,2025-04-15 22:38:41
